title,directors,stars,genre,runtime,grade,synopsis
A Hard Day's Night,Richard Lester,John Lennon Paul McCartney George Harrison Ringo Starr,Comedy/ Music/ Musical,87 min,All,"Over two ""typical"" days in the life of The Beatles/ the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance."
The Princess and the Frog,Ron Clements John Musker,Anika Noni Rose Keith David Oprah Winfrey Bruno Campos,Animation/ Adventure/ Comedy,97 min,All,A waitress/ desperate to fulfill her dreams as a restaurant owner/ is set on a journey to turn a frog prince back into a human being/ but she has to face the same problem after she kisses him.
Tonari no Totoro,Hayao Miyazaki,Hitoshi Takagi Noriko Hidaka Chika Sakamoto Shigesato Itoi,Animation/ Family/ Fantasy,86 min,All,When two girls move to the country to be near their ailing mother/ they have adventures with the wondrous forest spirits who live nearby.
Toy Story 2,John Lasseter Ash Brannon Lee Unkrich,Tom Hanks Tim Allen Joan Cusack Kelsey Grammer,Animation/ Adventure/ Comedy,92 min,All,When Woody is stolen by a toy collector/ Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie/ Prospector/ and Bullseye.
My Fair Lady,George Cukor,Audrey Hepburn Rex Harrison Stanley Holloway Wilfrid Hyde-White,Drama/ Family/ Musical,170 min,All,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.
The Straight Story,David Lynch,Richard Farnsworth Sissy Spacek Jane Galloway Heitz Joseph A. Carpenter,Biography/ Drama,112 min,All,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
Ka 2,John Lasseter Bradford Lewis,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer,Animation/ Adventure/ Comedy,106 min,All,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
Singin' in the Rain,Stanley Donen Gene Kelly,Gene Kelly Donald O'Connor Debbie Reynolds Jean Hagen,Comedy/ Musical/ Romance,103 min,All,A silent film production company and cast make a difficult transition to sound.
Ben-Hur,William Wyler,Charlton Heston Jack Hawkins Stephen Boyd Haya Harareet,Adventure/ Drama/ History,212 min,All,After a Jewish prince is betrayed and sent into slavery by a Roman friend/ he regains his freedom and comes back for revenge.
The Ten Commandments,Cecil B. DeMille,Charlton Heston Yul Brynner Anne Baxter Edward G. Robinson,Adventure/ Drama,220 min,All,Moses/ an Egyptian Prince/ learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.
Monseuteo daehakgyo,Dan Scanlon,Billy Crystal John Goodman Steve Buscemi Helen Mirren,Animation/ Adventure/ Comedy,104 min,All,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University/ when they weren't necessarily the best of friends."
Chitty Chitty Bang Bang,Ken Hughes,Dick Van Dyke Sally Ann Howes Lionel Jeffries Benny Hill,Adventure/ Family/ Fantasy,144 min,None,A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children/ and then they go off on a magical fantasy adventure to save their grandfather in a far-off land.
Hachi: A Dog's Tale,Lasse Hallström,Richard Gere Joan Allen Cary-Hiroyuki Tagawa Sarah Roemer,Biography/ Drama/ Family,93 min,All,A college professor bonds with an abandoned dog he takes into his home.
Horton Hears a Who!,Jimmy Hayward Steve Martino,Jim Carrey Steve Carell Carol Burnett Will Arnett,Animation/ Adventure/ Comedy,86 min,All,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.
Gake no ue no Ponyo,Hayao Miyazaki,Cate Blanchett Matt Damon Liam Neeson Tomoko Yamaguchi,Animation/ Adventure/ Comedy,101 min,All,A five-year-old boy develops a relationship with Ponyo/ a young goldfish princess who longs to become a human after falling in love with him.
The Jungle Book,Wolfgang Reitherman,Phil Harris Sebastian Cabot Louis Prima Bruce Reitherman,Animation/ Adventure/ Family,78 min,All,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
Tarzan,Chris Buck Kevin Lima,Tony Goldwyn Minnie Driver Brian Blessed Glenn Close,Animation/ Adventure/ Family,88 min,All,A man raised by gorillas must decide where he really belongs when he discovers he is a human.
Planet of the Apes,Franklin J. Schaffner,Charlton Heston Roddy McDowall Kim Hunter Maurice Evans,Adventure/ Sci-Fi,112 min,G,An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species/ and humans are the oppressed and enslaved.
101 Dalmatians,Stephen Herek,Glenn Close Jeff Daniels Joely Richardson Joan Plowright,Adventure/ Comedy/ Crime,103 min,All,An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat/ but instead creates an extravagant mess.
The Princess Diaries 2: Royal Engagement,Garry Marshall,Anne Hathaway Callum Blue Julie Andrews Hector Elizondo,Comedy/ Family/ Romance,113 min,All,Now settled in Genovia/ Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.
The Italian Job,Peter Collinson,Michael Caine Noël Coward Benny Hill Raf Vallone,Action/ Comedy/ Crime,99 min,15,Comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.
The Polar Express,Robert Zemeckis,Tom Hanks Chris Coppola Michael Jeter Leslie Zemeckis,Animation/ Adventure/ Comedy,100 min,All,On Christmas Eve/ a young boy embarks on a magical adventure to the North Pole on the Polar Express/ while learning about friendship/ bravery/ and the spirit of Christmas.
Majo no takkyûbin,Hayao Miyazaki,Kirsten Dunst Minami Takayama Rei Sakuma Kappei Yamaguchi,Animation/ Adventure/ Drama,103 min,All,A young witch/ on her mandatory year of independent life/ finds fitting into a new community difficult while she supports herself by running an air courier service.
Pocahontas,Mike Gabriel Eric Goldberg,Mel Gibson Linda Hunt Christian Bale Joe Baker,Animation/ Adventure/ Drama,81 min,All,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
The Aristo Cats,Wolfgang Reitherman,Phil Harris Eva Gabor Sterling Holloway Scatman Crothers,Animation/ Adventure/ Comedy,78 min,None,With the help of a smooth talking tomcat/ a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.
