title,directors,stars,genre,runtime,grade,synopsis
The Rugrats Movie,Igor Kovalyov Norton Virgien,Elizabeth Daily Christine Cavanaugh Kath Soucie Melanie Chartoff,Animation/ Adventure/ Comedy,79 min,All,The babies gets lost in the forest after Tommy Pickles (Elizabeth Daily) gets a new baby brother.
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,Kunihiko Yuyama Michael Haigney,Veronica Taylor Rachael Lillis Eric Stuart Jay Goede,Animation/ Action/ Adventure,96 min,All,Scientists genetically create a new Pokémon/ Mewtwo/ but the results are horrific and disastrous.
Oklahoma!,Fred Zinnemann,Gordon MacRae Gloria Grahame Gene Nelson Charlotte Greenwood,Comedy/ Drama/ Musical,145 min,None,In Oklahoma/ several farmers/ cowboys and a traveling salesman compete for the romantic favors of various local ladies.
The Music Man,Morton DaCosta,Robert Preston Shirley Jones Buddy Hackett Hermione Gingold,Comedy/ Family/ Musical,151 min,G,Harold Hill poses as a boys' band leader to con naive Iowa townsfolk.
Gigi,Vincente Minnelli Charles Walters,Leslie Caron Maurice Chevalier Louis Jourdan Hermione Gingold,Comedy/ Musical/ Romance,115 min,G,Weary of the conventions of Parisian society/ a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.
Jesus Christ Superstar,Norman Jewison,Ted Neeley Carl Anderson Yvonne Elliman Barry Dennen,Drama/ History/ Musical,106 min,None,Film version of the musical stage play/ presenting the last few weeks of Christ's life told in an anachronistic manner.
Doc McStuffins,  ,Lara Jill Miller Loretta Devine Robbie Rist Jess Harnell,Animation/ Short/ Family,11 min,All,Doc McStuffins is an imaginative animated series about Doc McStuffins/ a young girl who aspires to be a doctor like her mom and communicates with and heals broken toys and stuffed animals.
The Apple Dumpling Gang,Norman Tokar,Bill Bixby Susan Clark Don Knotts Tim Conway,Comedy/ Family/ Western,100 min,None,Three orphan children strike gold in 1878 California.
Lo chiamavano Trinità...,Enzo Barboni,Terence Hill Bud Spencer Steffen Zacharias Dan Sturkie,Comedy/ Western,115 min,None,A lazy/ unorthodox gunfighter and his portly/ horse-thieving brother defend a Mormon settlement from a land-grabbing Major/ a Mexican bandit/ and their henchmen.
A Countess from Hong Kong,Charles Chaplin,Marlon Brando Sophia Loren Sydney Chaplin Tippi Hedren,Comedy/ Romance,120 min,G,In Hong Kong/ the ambassador returning to America meets the Russian countess/ a refugee without a passport/ who decides to hide in his cabin.
When Dinosaurs Ruled the Earth,Val Guest,Victoria Vetri Robin Hawdon Patrick Allen Drewe Henley,Adventure/ Fantasy/ Romance,100 min,None,Sanna escapes being sacrificed and meets Tara. Together/ they live in a seaside tribe that worships the Sun God and survive the dangers of the creatures from the Mesozoic era.
Ice Station Zebra,John Sturges,Rock Hudson Ernest Borgnine Patrick McGoohan Jim Brown,Adventure/ Thriller,148 min,None,USN nuclear sub USS Tigerfish must rush to the North Pole to rescue the staff of Drift Ice Station Zebra weather station.
Lost Horizon,Charles Jarrott,Peter Finch Liv Ullmann Sally Kellerman George Kennedy,Adventure/ Drama/ Fantasy,150 min,None,While escaping war-torn China/ a group of Europeans crash in the Himalayas/ where they are rescued and taken to the mysterious Valley of the Blue Moon/ Shangri-La.
Yellow Submarine,George Dunning,Paul McCartney George Harrison Ringo Starr John Lennon,Animation/ Adventure/ Comedy,90 min,None,The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.
The Santa Clause 3: The Escape Clause,Michael Lembeck,Tim Allen Martin Short Elizabeth Mitchell Eric Lloyd,Adventure/ Comedy/ Family,97 min,All,Santa/ a.k.a. Scott Calvin/ is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.
Quest for Camelot,Frederik Du Chau,Jessalyn Gilsig Cary Elwes Andrea Corr Bryan White,Animation/ Adventure/ Comedy,86 min,None,An adventurous girl/ a young blind hermit/ and a goofy two-headed dragon race to find the lost sword Excalibur to save King Arthur and Camelot from disaster.
Thumbelina,Don Bluth Gary Goldman,Jodi Benson Gary Imhoff Gino Conforti Barbara Cook,Animation/ Family/ Fantasy,86 min,None,This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads/ moles/ and beetles before she can proceed with her courtship with her dream lover/ Prince Cornelius.
Babe: Pig in the City,George Miller,Magda Szubanski Elizabeth Daily Mickey Rooney James Cromwell,Adventure/ Comedy/ Drama,97 min,All,Babe/ fresh from his victory in the sheepherding contest/ returns to Farmer Hoggett's farm/ but after Farmer Hoggett is injured and unable to work/ Babe has to go to the big city to save the farm.
An American Tail: Fievel Goes West,Phil Nibbelink Simon Wells,James Stewart John Cleese Amy Irving Phillip Glasser,Animation/ Adventure/ Family,75 min,All,A family of Emigre mice decide to move out to the West/ unaware that they are falling into a trap perpetrated by a smooth-talking cat.
The Return of Jafar,Toby Shelton Tad Stones Alan Zaslove,Jonathan Freeman Scott Weinger Dan Castellaneta Jason Alexander,Animation/ Adventure/ Comedy,69 min,All,Jafar comes for revenge on Aladdin/ using a foolish thief and Iago's treachery to find a way back into power.
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,Ken Annakin,Stuart Whitman Sarah Miles James Fox Alberto Sordi,Adventure/ Comedy/ Family,138 min,None,Hoping to push Britain to the forefront of aviation/ a London publisher organizes an international air race across the English Channel/ but must contend with two entrants vying for his daughter/ as well as national rivalries and cheating.
Valiant,Gary Chapman,Ewan McGregor Ricky Gervais Tim Curry Jim Broadbent,Animation/ Adventure/ Comedy,76 min,All,At the height of World War II/ a tiny wood pigeon enlists in the elite Royal Homing Pigeon Service to serve Britain/ as the fearsome General Von Talon (Tim Curry) and his deadly squadron of falcons patrol the English Channel. Is he a war-hero in the making?
Brother Bear 2,Ben Gluck,Patrick Dempsey Mandy Moore Jeremy Suarez Rick Moranis,Animation/ Adventure/ Comedy,74 min,All,An old female friend of Kenai needs his help on a quest/ much to Koda's growing consternation.
The Swan Princess,Richard Rich,Jack Palance Howard McGillin Michelle Nicastro Liz Callaway,Animation/ Comedy/ Family,93 min,All,A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.
Tom and Jerry: The Movie,Phil Roman,Richard Kind Dana Hill Anndi McAfee Tony Jay,Animation/ Adventure/ Comedy,84 min,All,Cat and mouse duo Tom and Jerry reluctantly work together to save a young girl from her evil aunt.
Hercules in New York,Arthur Allan Seidelman,Arnold Stang Arnold Schwarzenegger Deborah Loomis James Karen,Adventure/ Comedy/ Fantasy,92 min,None,Hercules is sent to Earth where he finds true love and starts a promising career in the bodybuilder business.
Die unendliche Geschichte III: Rettung aus Phantasien,Peter MacDonald,Jason James Richter Melody Kay Jack Black Carole Finn,Adventure/ Comedy/ Family,95 min,12,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
A Shaun the Sheep Movie: Farmageddon,Will Becher Richard Phelan,Justin Fletcher John Sparkes Amalia Vitale Kate Harbour,Animation/ Adventure/ Comedy,86 min,All,When an alien with amazing powers crash-lands near Mossy Bottom Farm/ Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.
Burrow,Madeline Sh,irector:Madeline Sharafian,Animation/ Short/ Comedy,6 min,G,A young rabbit tries to build the burrow of her dreams/ becoming embarrassed each time she accidentally digs into a neighbor's home.
How Green Was My Valley,John Ford,Walter Pidgeon Maureen O'Hara Anna Lee Donald Crisp,Drama/ Family,118 min,None,At the turn of the century in a Welsh mining village/ the Morgans/ he stern/ she gentle/ raise coal-mining sons and hope their youngest will find a better life.
My Brilliant Career,Gillian Armstrong,Judy Davis Sam Neill Wendy Hughes Robert Grubb,Biography/ Drama/ Romance,100 min,None,A proud young woman in early 20th century Australia must choose between marriage and independence.
Day of the Evil Gun,Jerry Thorpe,Glenn Ford Arthur Kennedy Dean Jagger John Anderson,Western,95 min,None,A woman and two children are kidnapped by Apaches. The husband of the captured woman enlists the help of his neighbor to find the Apaches that seized his family; not knowing his neighbor has unknown reasons of his own for helping him.
Doppelgänger,Robert Parrish,Roy Thinnes Ian Hendry Patrick Wymark Lynn Loring,Drama/ Sci-Fi,101 min,None,The European Space Exploration Council sends two astronauts to explore a planet similar to the Earth but located on the opposite side of the sun.
Babes in Toyland,Jack Donohue,Ray Bolger Tommy Sands Annette Funicello Ed Wynn,Comedy/ Family/ Fantasy,106 min,None,Tom the Piper's Son is about to marry Mary Quite Contrary. On the eve of their wedding/ evil miser Barnaby hires two henchmen to drown Tom and steal Mary's sheep/ cared for by Little Bo ...                See full summary »
Wild Hearts Can't Be Broken,Steve Miner,Gabrielle Anwar Michael Schoeffling Cliff Robertson Dylan Kussman,Drama/ Family/ Romance,88 min,None,Thrilled by a performance she sees at a fair/ Sonora tries to land a spot as a daredevil who rides horses off of high dives.
The Silver Brumby,John Tatoulis,Caroline Goodall Russell Crowe Amiel Daemion Johnny Raaen,Drama/ Family,93 min,None,A mother tells her daughter a fable about the prince of the brumbies/ brumby being a term for the feral horses of Australia/ who must find its place among its kind/ while one man makes it his mission to capture it and tame it.
Thomas and the Magic Railroad,Britt Allcroft,Alec Baldwin Cody McMains Russell Means Peter Fonda,Adventure/ Comedy/ Drama,85 min,None,Thomas the Tank Engine's feature film debut follows Thomas and Mr. Conductor (Alec Baldwin) as they cross between the real world and the fictional Island of Sodor/ in an attempt to recover lost gold dust.
Curious George,Matthew O'Callaghan,Will Ferrell Drew Barrymore Eugene Levy Frank Welker,Animation/ Adventure/ Comedy,87 min,All,The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey/ an inquisitive and wonderful creature whose enthusiasm often gets the best of him.
The Computer Wore Tennis Shoes,Robert Butler,Kurt Russell Cesar Romero Joe Flynn William Schallert,Comedy/ Family/ Sci-Fi,91 min,None,At Medfield College/ an accident with a donated computer gives Dexter Riley the ability to remember any knowledge learned instantly and perfectly.
Holiday in the Sun,Steve Purcell,Mary-Kate Olsen Ashley Olsen Austin Nichols Ben Easter,Comedy/ Crime/ Family,87 min,None,Sisters Alex and Madison are whisked away to the Bahamas for winter break but soon find themselves crossing paths with a man smuggling stolen artifacts.
Charlotte's Web,Charles A. Nichols Iwao Takamoto,Debbie Reynolds Henry Gibson Paul Lynde Rex Allen,Animation/ Family/ Musical,94 min,None,Wilbur is a farm pig who's terrified that he'll end up on the dinner table. His friend Charlotte/ a charming spider/ comes to his rescue. She weaves words into her web/ convincing the farmer that Wilbur is too special a pig to kill.
Doctor Dolittle,Richard Fleischer,Rex Harrison Samantha Eggar Anthony Newley Richard Attenborough,Adventure/ Comedy/ Family,152 min,None,After the animal communicating veterinarian goes too far for his clientele/ he and his friends escape their hometown to the sea in search of the Great Pink Sea Snail.
Too Close for Christmas,Ernie Barbarash,Chad Michael Murray Jessica Lowndes Vanessa Sears Steve Byers,Drama,88 min,G,A woman's feelings start to change when she reluctantly spends Christmas with the man responsible for ending her last relationship.
Return to Never Land,Robin Budd Donovan Cook,Blayne Weaver Harriet Owen Corey Burton Jeff Bennett,Animation/ Adventure/ Family,72 min,All,In London during World War II/ this is the story of Wendy's daughter/ Jane/ who is kidnapped by Captain Hook and Peter Pan must come to the rescue.
The Muppet Christmas Carol,Brian Henson,Michael Caine Kermit the Frog Dave Goelz Miss Piggy,Comedy/ Drama/ Family,85 min,None,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
Little Nemo,Masami Hata William T. Hurtz,Gabriel Damon Mickey Rooney Rene Auberjonois Danny Mann,Animation/ Adventure/ Comedy,85 min,All,Each night/ young Nemo goes to Slumberland and has adventures and befriends the king of Slumberland/ Morpheus. But one night Nemo discovers Nightmare Land/ and the evil nightmare king/ throwing Slumberland and Nemo himself into danger.
Camelot,Joshua Logan,Richard Harris Vanessa Redgrave Franco Nero David Hemmings,Adventure/ Fantasy/ Musical,179 min,None,"The story of the marriage of England's King Arthur to Guinevere. The plot of illegitimate Mordred to gain the throne and Guinevere's growing attachment to Sir Lancelot/ threaten to topple Arthur and destroy his ""round table"" of knights."
Thunderbirds Are GO,David Lane,Sylvia Anderson Ray Barrett Alexander Davion Peter Dyneley,Action/ Adventure/ Drama,93 min,None,When the launch of a mission to Mars goes awry due to sabotage/ International Rescue is requested to assist in the mission's second attempt.
The Little Mermaid: Ariel's Beginning,Peggy Holmes,Jodi Benson Samuel E. Wright Jim Cummings Sally Field,Animation/ Drama/ Family,77 min,All,In the kingdom of Atlantica where music is forbidden/ the youngest daughter of King Triton/ named Ariel/ discovers her love of an underground music club and sets off to a daring adventure to bring restoration of music back to Atlantica.
Le Mans,Lee H. Katzin,Steve McQueen Siegfried Rauch Elga Andersen Ronald Leigh-Hunt,Action/ Adventure/ Drama,106 min,None,Almost at the verge of documentary/ film depicts a single auto race from the ground up.
An Extremely Goofy Movie,Douglas McCarthy,Bill Farmer Jason Marsden Jeff Bennett Jim Cummings,Animation/ Comedy/ Family,79 min,None,Max goes to college/ but to his embarassment his father loses his job and goes to his son's campus.
Darby O'Gill and the Little People,Robert Stevenson,Albert Sharpe Janet Munro Sean Connery Jimmy O'Dea,Adventure/ Family/ Fantasy,93 min,G,A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.
Koneko monogatari,Masanori Hata,Kyôko Koizumi Dudley Moore Chatran Pû,Adventure/ Drama/ Family,90 min,None,The adventures of a young cat and a dog as they find themselves accidentally separated and each swept into a hazardous trek.
Treasure Island,Byron Haskin,Bobby Driscoll Robert Newton Basil Sydney Walter Fitzgerald,Adventure/ Family,96 min,All,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.
Fantasia 2000,James Algar Gaëtan Brizzi Paul Brizzi Hendel Butoy Francis Glebas Eric Goldberg Don Hahn Pixote Hunt,James Levine Steve Martin Itzhak Perlman Quincy Jones,Animation/ Comedy/ Family,75 min,All,An update of the original film with new interpretations of great works of classical music.
Jinxed,Stephen Herek,Ciara Bravo Jacob Bertrand Elena Kampouris Jack Griffo,Comedy/ Family,75 min,None,After a century-old curse of bad luck/ a determined teen embarks on a journey to break her family's generational misfortune.
Waterloo,Sergey Bondarchuk,Rod Steiger Christopher Plummer Orson Welles Jack Hawkins,Action/ Biography/ Drama,134 min,None,Facing the decline of everything he has worked to obtain/ conqueror Napoleon Bonaparte and his army confront the British at the Battle of Waterloo.
Sinbad and the Eye of the Tiger,Sam Wanamaker,Patrick Wayne Jane Seymour Taryn Power Margaret Whiting,Action/ Adventure/ Family,113 min,All,Sinbad The Sailor sails to deliver a cursed prince to a dangerous island in the face of deadly opposition from a powerful witch.
Homeward Bound II: Lost in San Francisco,David R. Ellis,Michael J. Fox Sally Field Ralph Waite Al Michaels,Adventure/ Comedy/ Family,88 min,All,"When adventurous pets Chance/ Shadow and Sassy are accidentally separated from their vacationing owners/ they're left to fend for themselves on the mean streets of San Francisco/ in search for the ""golden bridge"" that will take them home."
The Conqueror,Dick Powell,John Wayne Susan Hayward Pedro Armendáriz Agnes Moorehead,Adventure/ Biography/ History,111 min,12,Mongol chief Temujin battles against Tartar armies and for the love of the Tartar princess Bortai. Temujin becomes the emperor Genghis Khan.
The Country Bears,Peter Hastings,Haley Joel Osment Diedrich Bader Candy Ford James Gammon,Comedy/ Family/ Music,88 min,All,Beary Barrington goes on an adventure to save Country Bear Hall by getting the Country Bears back together for a reunion concert.
The Tale of Despereaux,Sam Fell Robert Stevenhagen,Matthew Broderick Emma Watson Dustin Hoffman Tracey Ullman,Animation/ Adventure/ Comedy,93 min,All,An unusually brave mouse helps to restore happiness to a forlorn kingdom after making friends with a gentleman rat.
Limelight,Charles Chaplin,Charles Chaplin Claire Bloom Nigel Bruce Buster Keaton,Drama/ Music/ Romance,137 min,All,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.
Candleshoe,Norman Tokar,Jodie Foster David Niven Helen Hayes Leo McKern,Adventure/ Comedy/ Drama,101 min,None,Welcome to Candleshoe/ a stately English manor where a swashbuckling pirate hid a fortune in Spanish doubloons centuries ago. And that's what young orphan Casey and a sly con man are determined to find.
We're Back! A Dinosaur's Story,Phil Nibbelink Simon Wells Dick Zondag Ralph Zondag,John Goodman Charles Fleischer Blaze Berdahl Rhea Perlman,Animation/ Adventure/ Comedy,72 min,All,A time traveling scientist goes back to prehistoric times and feeds dinosaurs a magic cereal that increases their intelligence - next they land in modern New York City for a series of comic adventures.
Pippi Långstrump,Olle Hellbom,Inger Nilsson Maria Persson Pär Sundberg Margot Trooger,Adventure/ Comedy/ Drama,100 min,None,Pippi Longstocking/ a super-strong redheaded little girl/ moves into her father's house Villa Villekulla/ and has adventures with her next-door neighbors Tommy and Annika in this compilation film of the classic European TV series.
The Newcomers,James Allen Bradley,Christopher McCoy Matt McCoy Kate Bosworth Elizabeth Duff,Drama/ Family,90 min,G,A 12-year-old boy and his family start life over in a new town.
Secret of the Wings,Roberts Gannaway Peggy Holmes,Mae Whitman Lucy Hale Timothy Dalton Jeff Bennett,Animation/ Family/ Fantasy,75 min,None,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.
Les demoiselles de Rochefort,Jacques Demy,Catherine Deneuve George Chakiris Françoise Dorléac Jacques Perrin,Comedy/ Drama/ Musical,120 min,12,Two sisters leave their small seaside town of Rochefort in search of romance. Hired as carnival singers/ one falls for an American musician/ while the other must search for her ideal partner.
Ooops! Noah Is Gone...,Toby Genkel Sean McCormack,Dermot Magennis Callum Maloney Tara Flynn Ava Connolly,Animation/ Adventure/ Comedy,87 min,All,It's the end of the world. A flood is coming. Luckily for Dave and his son Finny/ a couple of clumsy Nestrians/ an Ark has been built to save all animals. But as it turns out/ Nestrians ...                See full summary »
Dersu Uzala,Akira Kurosawa,Maksim Munzuk Yuriy Solomin Mikhail Bychkov Vladimir Khrulyov,Adventure/ Biography/ Drama,142 min,None,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
Thoroughly Modern Millie,George Roy Hill,Julie Andrews James Fox Mary Tyler Moore Carol Channing,Comedy/ Musical/ Romance,138 min,None,Millie Dillmount comes to town in the roaring twenties to encounter flappers/ sexuality/ and white slavers.
Rock-A-Doodle,Don Bluth Gary Goldman Dan Kuenster,Glen Campbell Christopher Plummer Phil Harris Eddie Deezen,Animation/ Adventure/ Comedy,74 min,All,In order to defeat the Grand Duke of Owls/ a young boy transformed into a cat teams up with a group of barnyard animals to find a rooster who can raise the sun.
Pinocchio,Roberto Benigni,Roberto Benigni Nicoletta Braschi Carlo Giuffrè Mino Bellei,Comedy/ Family/ Fantasy,108 min,All,Despite guidance from the Blue Fairy and the love of his father/ a wooden puppet's curious spirit leads him into one wild adventure after another.
The 7th Voyage of Sinbad,Nathan Juran,Kerwin Mathews Kathryn Grant Richard Eyer Torin Thatcher,Action/ Adventure/ Family,88 min,None,When a princess is shrunken by an evil wizard/ Sinbad must undertake a quest to an island of monsters to cure her and prevent a war.
The Undefeated,Andrew V. McLaglen,John Wayne Rock Hudson Antonio Aguilar Roman Gabriel,Action/ Adventure/ Romance,119 min,12,After the Civil War/ ex-Confederate soldiers heading for a new life in Mexico run into ex-Union cavalrymen selling horses to the Mexican government but they must join forces to fight off Mexican bandits and revolutionaries.
The Adventures of Pinocchio,Steve Barron,Martin Landau Jonathan Taylor Thomas Geneviève Bujold Udo Kier,Adventure/ Drama/ Family,96 min,All,One of puppet-maker Geppetto's creations comes magically to life. This puppet named Pinocchio has one major desire/ to become a real boy someday/ but he has to learn to act responsibly.
Return from Witch Mountain,John Hough,Bette Davis Christopher Lee Kim Richards Ike Eisenmann,Family/ Adventure/ Sci-Fi,95 min,All,Tia and Tony visit Los Angeles/ but he's quickly kidnapped by an evil scientist/ leaving her to desperately search for him.
The Moon-Spinners,James Neilson,Hayley Mills Eli Wallach Pola Negri Peter McEnery,Adventure/ Family/ Mystery,118 min,None,A teenager encounters romance/ intrigue and a search for stolen jewels during her visit to the island of Crete.
The Devil Rides Out,Terence Fisher,Christopher Lee Charles Gray Nike Arrighi Leon Greene,Horror,96 min,None,Devil worshipers plan to convert two new victims.
Sounder,Martin Ritt,Cicely Tyson Paul Winfield Kevin Hooks Carmen Mathews,Drama/ Family,105 min,None,The oldest son of a loving and strong family of black sharecroppers comes of age in the Depression-era South after his father is imprisoned for stealing food.
1776,Peter H. Hunt,William Daniels Howard Da Silva Ken Howard Donald Madden,Drama/ Family/ History,141 min,G,A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.
Kronk's New Groove,Saul Blinkoff Elliot M. Bour,Patrick Warburton Tracey Ullman Eartha Kitt David Spade,Animation/ Comedy/ Family,75 min,None,"Kronk desperately tries to find ways to impress his dad/ whom he can never please. But when things go wrong/ Kronk kicks into comical gear and discovers the true riches in life are his friends and being ""true to your groove""."
Babes in Toyland,Clive Donner,Drew Barrymore Richard Mulligan Eileen Brennan Keanu Reeves,Adventure/ Family/ Fantasy,140 min,None,A young girl wakes up in the realm of Toyland/ where she teams up with her family and friends to overthrow the evil villain/ Barnaby.
Atlantis: Milo's Return,Victor Cook Toby Shelton Tad Stones,James Arnold Taylor Cree Summer John Mahoney Jacqueline Obradors,Animation/ Action/ Adventure,70 min,G,Milo and Kida reunite with their friends to investigate strange occurances around the world that seem to have links to the secrets of Atlantis.
The Worst Witch,Robert Young,Diana Rigg Charlotte Rae Tim Curry Fairuza Balk,Comedy/ Family/ Fantasy,70 min,None,Mildred Hubble (Fairuza Balk) is one of the young girls at a prestigious witch academy. She can't seem to do anything right and is picked on by classmates and teachers. The headmistress of ...                See full summary »
Pocahontas II: Journey to a New World,Tom Ellery Bradley Raymond,Irene Bedard Donal Gibson Jim Cummings Finola Hughes,Animation/ Adventure/ Drama,72 min,None,Pocahontas sets off on a journey to England with Meeko/ Flit/ and Percy. Hearing rumors of John Smith's death/ Pocahontas tries to prevent war and battle.
The Green Berets,Ray Kellogg John Wayne Mervyn LeRoy,John Wayne David Janssen Jim Hutton Aldo Ray,Drama/ War,142 min,None,Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy the second mission is to kidnap a North Vietnamese General.
Once Upon a Forest,Charles Grosvenor,Michael Crawford Ben Vereen Ellen Blain Benji Gregory,Animation/ Adventure/ Drama,71 min,None,A young mouse/ mole and hedgehog risk their lives to find a cure for their badger friend/ who's been poisoned by men.
Sweet Charity,Bob Fosse,Shirley MacLaine John McMartin Ricardo Montalban Sammy Davis Jr.,Comedy/ Drama/ Music,149 min,None,Taxi dancer Charity continues to have Faith despite endless disappointments at its hands/ and Hope that she will finally meet the man to romance her away from her sleazy life. Maybe/ just maybe/ handsome Oscar will be the one to do it.
The Cat from Outer Space,Norman Tokar,Ken Berry Sandy Duncan Harry Morgan Roddy McDowall,Comedy/ Family/ Sci-Fi,104 min,None,Three scientists help an Alien feline/ stranded on Earth/ to repair its damaged spacecraft in order to return home but their efforts are hampered by inept army officials and foreign spies.
Brigadoon,Vincente Minnelli,Gene Kelly Van Johnson Cyd Charisse Elaine Stewart,Fantasy/ Musical/ Romance,108 min,12,Two Americans on a hunting trip in Scotland become lost. They encounter a small village/ not on the map/ called Brigadoon/ in which people harbor a mysterious secret/ and behave as if they were still living two hundred years in the past.
Head,Bob Rafelson,Peter Tork Davy Jones Micky Dolenz Michael Nesmith,Comedy/ Fantasy/ Musical,86 min,None,The Monkees are tossed about in a psychedelic/ surrealist/ plotless/ circular bit of fun fluff.
Passport to Paris,Alan Metter,Mary-Kate Olsen Ashley Olsen Peter White Matt Winston,Family/ Comedy,87 min,None,Sent to Paris to visit their grandfather/ the twins fall in love with France/ not to mention two French boys.
Escape from the Planet of the Apes,Don Taylor,Roddy McDowall Kim Hunter Bradford Dillman Natalie Trundy,Action/ Sci-Fi,98 min,None,The world is shocked by the appearance of three talking chimpanzees/ who arrived mysteriously in a U.S. spacecraft. They become the toast of society/ but one man believes them to be a threat to the human race.
Godspell: A Musical Based on the Gospel According to St. Matthew,David Greene,Victor Garber Lynne Thigpen Katie Hanley David Haskell,Comedy/ Drama/ Musical,103 min,None,An adaption of the musical/ in a modern-day song-and-dance recreation of the Gospel of St. Matthew.
Amazing Grace,Alan Elliott Sydney Pollack,Aretha Franklin James Cleveland Alexander Hamilton Cornell Dupree,Documentary/ Music,89 min,All,A documentary presenting Aretha Franklin with choir at the New Bethel Baptist Church in Watts/ Los Angeles in January 1972.
Cromwell,Ken Hughes,Richard Harris Alec Guinness Robert Morley Dorothy Tutin,Biography/ Drama/ History,139 min,G,Oliver Cromwell can no longer tolerate King Charles' policies/ and the self-interest of the ruling class/ and leads a civil war to install Parliament as the ultimate ruler of England.
Kit Kittredge: An American Girl,Patricia Rozema,Abigail Breslin Stanley Tucci Joan Cusack Julia Ormond,Comedy/ Drama/ Family,101 min,None,Set in Cincinnati at the height of the Great Depression/ Kit Kittredge/ a resourceful young girl/ helps her mother run a boardinghouse after her father loses his job.
The Pirates of Penzance,Wilford Leach,Kevin Kline Angela Lansbury Linda Ronstadt George Rose,Comedy/ Musical/ Romance,112 min,G,After a young man leaves a band of pirates/ hilarity ensues.
Follow That Bird,Ken Kwapis,Caroll Spinney Jim Henson Frank Oz Richard Hunt,Adventure/ Comedy/ Family,88 min,None,Big Bird is sent to live far from Sesame Street by a pesky social worker named Miss Finch. Unhappy/ he runs away from there/ prompting the rest of the Sesame Street gang to go on a cross-country journey to find him.
The Absent Minded Professor,Robert Stevenson,Fred MacMurray Nancy Olson Keenan Wynn Tommy Kirk,Comedy/ Family/ Sci-Fi,92 min,None,A college professor invents an anti-gravity substance which a corrupt businessman wants for himself.
Daphne & Velma,Suzi Yoonessi,Sarah Jeffery Sarah Gilman Vanessa Marano Brian Stepanek,Action/ Comedy/ Crime,72 min,G,The female future members of Mystery Inc. investigate strange goings-on in their school.
Napoléon vu par Abel Gance,Abel Gance,Albert Dieudonné Vladimir Roudenko Edmond Van Daële Alexandre Koubitzky,Biography/ Drama/ History,330 min,All,A film about the French general's youth and early military career.
Hellfighters,Andrew V. McLaglen,John Wayne Katharine Ross Jim Hutton Vera Miles,Action/ Adventure/ Drama,121 min,12,The story of macho oil well firefighters and their wives.
Muppets from Space,Tim Hill,Dave Goelz Steve Whitmire Bill Barretta Jerry Nelson,Adventure/ Comedy/ Family,87 min,None,Gonzo is contacted by his alien family through his breakfast cereal. But when the men in black kidnap him/ it's up to Kermit and the gang to rescue Gonzo and help him reunite with his long-lost family.
Rugrats in Paris: The Movie - Rugrats II,Stig Bergqvist Paul Demeyer,Christine Cavanaugh Elizabeth Daily Cheryl Chase Tara Strong,Animation/ Adventure/ Comedy,78 min,All,The Rugrats travel to Paris/ France/ where Chuckie (Christine Cavanaugh) hopes to find a new mother and keep his father from marrying an evil business woman.
Bao,Domee Shi,Sindy Lau Daniel Kai Lin Sharmaine Yeoh Tim Zhang,Animation/ Short/ Family,8 min,G,A Chinese-Canadian woman suffering from empty nest syndrome gets a second shot at motherhood when one of her handmade dumplings comes alive.
Cinderella III: A Twist in Time,Frank Nissen,Jennifer Hale Christopher Daniel Barnes Susanne Blakeslee Tress MacNeille,Animation/ Family/ Fantasy,74 min,All,When Lady Tremaine steals the Fairy Godmother's wand and changes history/ it's up to Cinderella and her mouse friends to restore the timeline and reclaim her prince.
Scrooge,Ronald Neame,Albert Finney Alec Guinness Edith Evans Kenneth More,Drama/ Family/ Fantasy,113 min,None,A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption/ courtesy of several mysterious Christmas apparitions.
