movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt10195452,Ex Machina,Alex Garland,Alicia Vikander Domhnall Gleeson Oscar Isaac Sonoya Mizuno,Drama/ Sci-Fi/ Thriller,108,18,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,77.03%,0,3,3,drinking
tt0083929,Unforgiven,Clint Eastwood,Clint Eastwood Gene Hackman Morgan Freeman Richard Harris,Drama/ Western,130,15,"Retired Old West gunslinger William Munny reluctantly takes on one last job/ with the help of his old partner Ned Logan and a young man/ The ""Schofield Kid.""",82.85%,3,3,6,drinking
tt10362466,Kill Bill: Vol. 2,Quentin Tarantino,Uma Thurman David Carradine Michael Madsen Daryl Hannah,Action/ Crime/ Thriller,137,18,The Bride continues her quest of vengeance against her former boss and lover Bill/ the reclusive bouncer Budd/ and the treacherous/ one-eyed Elle.,74.70%,3,3,4,smoking and drinking
tt7286456,Batman v Superman: Dawn of Justice,Zack Snyder,Ben Affleck Henry Cavill Amy Adams Jesse Eisenberg,Action/ Adventure/ Sci-Fi,152,12,Fearing that the actions of Superman are left unchecked/ Batman takes on the Man of Steel/ while the world wrestles with what kind of a hero it really needs.,81.63%,3,3,5,drinking
tt8829830,Good Time,Benny Safdie Josh Safdie,Robert Pattinson Benny Safdie Jennifer Jason Leigh Buddy Duress,Crime/ Drama/ Thriller,102,15,After a botched bank robbery lands his younger brother in prison/ Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.,79.76%,3,3,2,smoking and drinking
tt0099685,The Private Life of a Modern Woman,James Toback,Sienna Miller Alec Baldwin Charles Grodin Colleen Camp,Drama,71,R,An actress's nightmare about killing her ex-boyfriend somehow becomes a reality.,53.69%,0,0,0,no alcohol or smoking
tt9784798,It Chapter Two,Andy Muschietti,Jessica Chastain James McAvoy Bill Hader Isaiah Mustafa,Drama/ Fantasy/ Horror,169,15,Twenty-seven years after their first encounter with the terrifying Pennywise/ the Losers Club have grown up and moved away/ until a devastating phone call brings them back.,76.62%,3,3,6,smoking and drinking
tt0361748,The Hangover,Todd Phillips,Zach Galifianakis Bradley Cooper Justin Bartha Ed Helms,Comedy,100,18,Three buddies wake up from a bachelor party in Las Vegas/ with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.,79.39%,1,3,4,drinking
tt0110912,Caddyshack,Harold Ramis,Chevy Chase Rodney Dangerfield Bill Murray Ted Knight,Comedy/ Sport,98,None,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,53.69%,0,3,7,smoking and drinking
tt6394270,Die Hard,John McTiernan,Bruce Willis Alan Rickman Bonnie Bedelia Reginald VelJohnson,Action/ Thriller,132,18,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,79.74%,1,3,6,smoking and drinking
